MultiSURF Analysis Completed with ExSTraCS
Run Time (sec):64894.5411379
=== SCORES ===
A_5	59749.4440834	1
A_1	56624.5246313	2
A_2	56593.5212935	3
A_3	47788.5877296	4
A_0	44896.5897778	5
A_4	41949.7995421	6
R_59	7198.50996354	7
R_35	6376.06480312	8
R_47	5767.25896348	9
R_37	5340.67055677	10
R_32	4289.37976309	11
R_39	3883.27491729	12
R_56	3757.41249027	13
R_6	3746.63391661	14
R_52	3687.23764781	15
R_3	3671.53068708	16
R_25	3376.08551928	17
R_15	3142.73865408	18
R_7	3007.21180473	19
R_50	2961.92784761	20
R_33	2653.34473349	21
R_2	1445.76864725	22
R_24	1230.99432229	23
R_49	1227.47781773	24
R_43	1025.04548778	25
R_12	686.364595455	26
R_44	572.395329979	27
R_36	554.461582406	28
R_20	549.010084276	29
R_58	458.796764546	30
R_5	124.815696362	31
R_1	-162.21977467	32
R_19	-259.97503065	33
R_29	-293.363554615	34
R_63	-458.483579491	35
R_23	-644.882094483	36
R_18	-706.984703454	37
R_30	-773.623087754	38
R_10	-1240.01111951	39
R_48	-1340.63063261	40
R_60	-1474.92824422	41
R_8	-1616.9957725	42
R_17	-1802.31470534	43
R_22	-1816.92063362	44
R_46	-2363.29039487	45
R_41	-2393.31078859	46
R_31	-2532.02768648	47
R_14	-2752.34877807	48
R_11	-2827.4424882	49
R_0	-2933.12663744	50
R_62	-3007.37153747	51
R_53	-3019.3151407	52
R_42	-3037.68176128	53
R_34	-3128.07811078	54
R_55	-3305.41022781	55
R_13	-3521.69267815	56
R_28	-4030.27631774	57
R_21	-4152.14463188	58
R_4	-4192.78561406	59
R_40	-4211.53243756	60
R_9	-4240.00565005	61
R_57	-4534.23718222	62
R_51	-4612.28995744	63
R_27	-5306.42308919	64
R_26	-5442.65264664	65
R_54	-5669.1328341	66
R_45	-6051.46682106	67
R_61	-6282.92216239	68
R_38	-6642.43773702	69
R_16	-6841.13857643	70
