N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	M0P0	M0P1	M1P0	M1P1	Class
1	0	0	0	1	1	0	170.7	0	0	2	0	1	1	2	1	1	0	0	0	44.8160690231
0	0	1	0	0	0	0	322.8	0	0	1	0	0	0	0	1	0	0	0	1	88.0071033677
1	0	0	0	0	1	1	479.4	0	0	0	0	0	1	1	0	1	1	0	0	76.8059641002
0	0	0	1	1	0	1	195.6	0	0	0	0	0	2	2	0	1	1	2	1	26.2236369885
1	1	0	1	0	0	0	72.9	1	1	0	0	0	0	0	0	1	1	0	0	39.6147000109
1	0	0	0	0	0	0	21.3	0	0	0	0	1	0	0	0	0	0	0	1	15.1533906647
1	0	0	1	0	1	0	296.1	0	0	0	0	1	0	2	0	0	0	0	0	97.8973182506
0	0	0	1	0	0	0	344.7	0	1	0	0	1	1	1	0	0	0	0	0	73.3710557872
0	0	0	1	0	1	0	121.5	1	1	0	0	1	0	1	1	0	1	0	0	26.6213147387
1	0	0	0	1	0	0	340.2	0	0	0	1	0	1	1	2	0	1	1	0	96.3418529699
0	0	0	1	0	2	0	226.8	0	0	0	0	0	0	0	0	2	0	0	0	38.3336688855
0	0	0	1	1	1	0	12.3	0	1	1	0	1	0	1	0	1	0	2	0	44.8748636043
0	1	0	2	0	1	0	468.0	0	1	0	0	0	0	2	0	0	1	1	1	78.2691319418
1	0	0	2	0	0	0	98.4	1	0	1	0	1	2	2	1	0	1	1	1	36.2947736309
0	0	0	2	0	1	0	210.0	0	0	0	0	0	0	1	0	0	0	0	0	1.75534683283
0	1	0	1	1	0	0	405.9	0	1	1	0	0	1	1	0	1	0	0	1	72.8701533793
2	1	0	1	0	1	0	213.3	0	0	0	0	1	0	1	0	0	1	1	0	36.8516926741
0	0	0	2	0	1	0	113.7	0	0	0	0	1	2	1	0	2	0	1	0	13.0112571426
1	1	0	1	0	1	0	146.1	0	0	1	0	2	1	0	0	1	0	1	1	27.8626843368
1	0	0	0	0	1	1	218.1	1	1	0	0	1	0	1	1	1	0	1	0	0.610851965095
0	0	0	0	0	1	0	335.4	1	1	1	0	0	0	0	0	0	0	0	1	99.4150340493
2	0	0	0	0	1	0	347.4	0	0	0	1	0	1	2	0	0	2	0	1	64.783221931
0	0	0	2	0	0	0	111.6	0	1	0	0	1	0	1	0	0	0	0	1	5.58718965467
1	1	0	1	0	0	0	137.4	0	0	0	0	0	1	1	0	1	0	0	0	49.1920415269
0	0	0	1	0	1	0	372.3	0	0	0	0	0	0	0	1	0	0	1	1	61.8980504449
0	0	0	0	0	1	0	271.2	0	0	1	1	1	1	2	0	0	0	1	2	65.618030357
0	2	0	0	1	0	1	61.5	0	0	0	0	1	2	1	0	0	0	0	0	30.7249701389
1	0	0	0	0	1	0	206.7	1	0	0	0	0	1	0	0	2	0	0	0	34.3517603028
1	0	0	0	0	1	0	414.6	1	0	0	0	1	1	1	1	1	1	1	0	92.2527840431
1	1	0	1	0	1	0	207.3	0	0	0	0	1	0	2	0	0	1	0	1	27.219530403
0	1	0	1	0	1	0	415.5	1	1	1	0	1	1	2	1	1	1	2	0	54.5303211531
1	1	0	0	0	1	0	265.2	1	0	0	0	1	1	0	0	0	0	1	0	91.4944327107
0	0	0	1	0	1	0	274.5	0	0	1	0	0	0	0	0	0	0	0	0	60.7276064369
0	1	0	1	0	0	0	156.6	2	0	0	0	2	0	1	0	1	0	0	1	9.94747992902
1	1	0	0	0	2	0	81.3	0	0	0	0	1	0	0	0	0	0	0	0	37.8816481707
1	0	0	1	0	0	0	225.0	0	0	1	1	0	1	2	1	0	0	1	1	21.2610323715
1	0	0	1	0	0	0	87.0	0	0	1	1	1	1	1	1	1	1	0	0	22.1429212221
1	0	0	0	0	0	0	53.4	1	0	0	0	0	1	1	0	1	0	1	0	2.11398142927
0	1	0	1	0	0	0	298.8	1	0	0	0	0	0	1	1	0	1	1	0	63.6292624037
0	0	0	2	0	1	0	59.1	1	0	0	0	1	0	1	0	0	0	0	0	43.1805504535
0	1	0	2	1	1	0	109.8	0	0	1	0	1	1	1	0	1	0	1	1	29.5930617215
0	1	0	1	0	0	0	27.0	0	0	0	0	0	1	2	1	0	0	0	1	12.5943788911
0	0	0	2	0	1	1	131.4	0	0	0	0	1	0	1	1	0	1	0	0	27.8775179155
0	1	0	1	0	0	0	133.2	0	0	0	1	0	0	0	0	0	0	0	0	36.0243888618
1	2	0	1	0	0	0	292.2	1	0	0	0	1	0	0	0	0	1	0	0	80.0616632389
1	0	0	0	2	1	0	320.1	0	0	0	0	2	0	0	0	0	1	1	1	55.5928357332
1	0	0	1	0	0	0	106.8	0	0	1	0	0	0	0	1	0	0	1	0	45.3083375969
1	0	0	1	0	1	0	220.8	0	0	0	0	0	0	2	1	0	0	0	0	20.1039333823
0	0	0	2	1	2	0	160.5	1	0	0	0	1	0	0	1	0	1	1	0	3.98456222971
0	0	0	0	0	0	0	462.9	0	1	0	0	2	1	1	0	1	1	1	1	78.271529191
1	0	0	1	0	1	0	172.8	0	0	1	0	0	0	0	1	0	0	0	0	29.4840540943
0	0	0	0	0	0	1	20.7	0	0	0	0	1	1	0	1	0	0	0	1	12.697776259
1	1	0	1	0	0	0	221.4	0	0	0	0	1	0	1	0	0	1	0	0	48.0041371175
0	0	0	1	0	0	0	363.3	0	0	0	0	0	0	1	0	1	0	1	1	99.3513743916
2	0	0	2	0	1	0	403.5	0	1	0	0	0	0	2	0	0	0	1	1	81.7052472742
2	1	0	0	0	1	0	41.7	0	0	0	0	0	0	1	0	1	1	1	1	17.9489090328
0	1	0	0	0	1	0	138.0	0	0	1	0	0	0	1	0	1	0	0	0	21.8048374229
1	0	0	1	0	0	0	288.6	0	0	1	0	1	0	1	0	1	1	0	0	99.7287745496
1	0	0	2	0	1	0	72.0	1	0	0	0	1	1	1	0	0	1	1	0	42.2497028221
1	0	0	0	0	1	0	333.0	1	1	0	0	0	1	1	1	0	0	1	1	90.358698492
1	0	0	1	1	0	0	45.3	0	0	1	0	1	0	2	1	1	1	1	0	11.1644304099
1	0	0	1	0	0	0	231.3	0	0	1	0	1	1	1	0	0	0	0	0	23.898734336
0	0	0	0	0	1	0	173.4	2	0	0	0	1	2	0	0	0	0	0	1	4.49572187065
0	1	0	1	0	0	0	406.8	0	0	1	0	1	0	1	1	1	0	0	1	61.7873117229
0	0	0	2	0	1	0	402.3	0	0	0	0	0	0	1	0	1	0	0	1	93.1334275796
0	0	0	1	0	0	0	100.5	1	1	1	0	0	1	1	1	1	0	2	0	23.6743964772
0	0	0	1	0	1	0	365.4	0	0	0	0	1	1	1	0	0	0	0	1	87.074131146
1	1	0	1	0	1	0	246.6	0	0	0	0	1	1	1	2	0	0	1	0	64.0997463399
0	1	0	1	0	1	0	189.6	0	1	0	0	1	0	1	0	0	0	0	0	5.45709432118
0	1	0	0	0	0	1	282.9	1	0	0	0	0	1	0	1	0	0	0	2	73.2765366836
0	0	0	0	0	0	0	384.0	0	0	1	0	1	1	0	1	0	0	0	0	65.1147777949
1	2	0	1	0	2	0	407.4	0	0	0	1	1	1	1	0	0	0	0	1	54.8191551275
0	1	0	0	1	0	0	442.8	0	0	0	0	2	0	1	0	0	1	0	0	58.4854231685
2	1	0	0	0	0	0	341.7	1	0	0	0	0	0	1	1	0	0	1	0	67.7563152282
1	0	0	0	0	0	0	396.6	0	0	0	0	1	1	1	0	1	0	1	0	58.8206146285
0	0	0	1	0	0	0	396.3	0	0	0	0	0	0	2	1	0	0	1	0	87.7770770146
1	0	0	2	1	1	0	299.1	0	0	0	0	0	1	0	0	0	0	1	0	89.0373976045
0	1	0	1	0	0	0	77.1	0	0	0	0	0	0	0	0	0	0	1	0	47.1019705217
1	0	0	0	0	1	0	393.9	0	0	0	0	1	0	1	0	1	0	1	0	86.0741486185
1	0	0	1	0	0	0	414.9	0	1	0	0	2	0	1	1	0	0	0	1	81.2412145838
1	1	0	0	0	0	0	164.4	1	0	0	0	2	0	1	2	2	0	0	0	24.1628693441
