N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	X	Class
0.509	678.46	2.17	18	5.7	4.575031705	2.1346	3.611	21	3.695	1.337604604	470.6921	34.87	1216.02
0.891	693.99	2.91	15	0.3	0.569384942	0.7669	0.777	7	3.421	3.618194495	1.3836	20.17	406.79
0.517	599.68	2.91	52	91.5	0.85149031	3.1478	4.648	45	3.514	3.3543985	396.4793	98.55	9713.08
0.636	165.28	0.89	74	106.0	4.890278447	6.7823	2.332	9	4.877	1.118072215	24.0439	30.21	912.62
0.248	747.58	0.03	48	80.6	2.738173466	6.3493	1.483	11	2.061	3.399218444	204.3184	21.56	464.94
0.746	526.59	2.53	86	88.5	4.647939737	1.0709	4.310	14	4.879	2.066387751	478.6765	10.13	102.63
0.566	421.70	0.39	78	112.6	1.134564933	5.6098	0.884	30	4.587	1.134567974	311.7020	97.56	9518.59
0.227	685.15	4.51	4	190.6	2.802866355	3.4445	3.443	27	4.043	1.693652836	270.9137	88.24	7786.85
0.018	235.29	3.79	14	109.2	4.472621674	4.5840	1.275	19	2.635	2.222062871	53.1308	16.68	278.15
0.572	753.51	2.69	93	171.4	0.075874263	3.4692	4.250	31	4.340	0.180597899	81.8456	25.91	671.33
0.306	647.30	4.41	26	91.0	2.97409626	1.5867	0.944	33	0.921	3.359167041	163.7094	48.80	2381.26
0.419	232.00	4.04	6	132.5	4.589328355	4.1937	1.855	38	2.057	0.598326067	369.4295	19.70	388.11
0.441	1.61	4.05	22	43.9	0.050550352	4.3203	0.060	36	0.044	4.730233058	342.5343	29.87	892.43
0.420	180.78	0.79	77	42.6	4.375678237	8.8753	1.246	33	2.433	1.39475136	74.5497	3.18	10.12
0.553	182.23	1.65	69	120.3	1.357222857	9.8131	2.634	35	0.570	4.97346608	237.7574	55.91	3125.44
0.178	528.45	4.73	12	89.1	0.81807645	0.1135	1.492	40	2.355	1.880352358	192.6019	4.74	22.50
0.427	143.11	4.49	50	36.1	3.449324333	9.3232	0.791	22	4.540	4.956382093	297.1416	76.76	5891.87
0.446	116.92	3.38	20	122.6	2.702573133	1.3331	4.398	15	2.458	1.494139167	209.5840	5.02	25.21
0.891	57.35	0.87	41	73.8	3.691141167	0.2926	3.174	7	1.223	1.54503113	317.2104	49.94	2494.29
0.768	784.41	4.92	22	78.5	4.967379472	6.8815	3.106	43	3.781	4.066665035	21.2468	89.97	8095.11
0.437	51.75	1.71	91	120.0	4.815344782	0.4862	4.042	31	3.246	0.948965123	107.9345	38.96	1517.61
0.091	278.26	1.57	61	60.9	2.075116764	5.4038	2.749	34	2.840	3.216888388	107.6387	26.10	681.26
0.595	606.52	3.99	38	80.4	3.016095591	6.4632	2.311	38	1.424	3.215412787	267.9431	89.67	8040.99
0.681	483.08	3.18	85	168.8	2.077674334	7.0950	0.410	50	4.492	1.002544872	471.7757	88.28	7793.18
0.535	401.03	1.80	37	20.9	2.934095125	3.4786	4.962	22	2.428	4.008639843	440.2003	64.44	4152.23
0.779	749.75	1.27	57	89.6	2.953361495	2.1550	1.169	40	1.789	1.436511662	46.0385	87.41	7640.62
0.118	550.35	1.82	67	7.3	3.830761183	6.7648	1.356	48	3.739	3.631728905	34.1014	32.02	1025.49
0.306	435.62	3.76	49	176.6	2.232606459	5.0845	4.212	37	0.962	2.593388701	125.1953	15.64	244.74
0.295	429.12	3.84	64	4.6	3.810239463	5.9713	0.925	41	2.979	4.797697107	213.1833	25.88	669.68
0.773	248.62	1.20	88	193.2	3.578864365	5.6611	3.111	47	3.366	2.827887931	110.1009	63.32	4008.87
0.102	357.72	0.90	96	135.8	1.624393235	5.7367	0.126	20	3.701	3.386762165	223.1309	92.12	8486.08
0.296	694.93	3.11	85	170.7	0.660627161	3.7950	1.847	47	1.118	1.450077725	339.0958	60.88	3706.89
0.199	38.48	3.07	96	148.6	0.466805512	5.4919	4.300	7	2.132	3.760748524	22.4992	24.28	589.34
0.163	248.64	0.17	94	38.6	3.199880449	6.0367	1.946	49	2.234	2.199873397	451.5249	38.96	1517.71
0.318	384.77	0.88	81	130.4	3.40908236	6.8907	3.063	26	0.903	4.374390354	6.6178	30.02	901.21
0.563	491.04	1.97	54	153.0	2.79691514	8.3690	4.819	28	2.334	4.611690725	2.4880	50.59	2559.33
0.068	175.01	4.67	40	72.0	2.193422193	6.9392	3.478	11	2.433	3.025418804	439.2656	54.31	2949.04
0.572	181.37	3.89	28	79.8	1.725813425	6.8899	3.343	47	4.640	3.756715139	169.1040	87.43	7643.62
0.911	302.98	4.68	28	102.2	0.856739953	6.4245	3.352	12	4.827	1.242176146	499.1848	99.63	9925.68
0.897	758.33	2.68	67	103.5	3.320800761	2.8535	3.969	48	0.020	0.478279202	7.7018	62.25	3875.61
0.405	317.38	0.16	26	31.7	4.44378364	2.5438	0.414	14	0.967	0.366534279	4.2025	81.13	6582.82
0.114	35.22	0.18	6	91.6	0.707654572	2.3275	2.237	32	0.238	4.213912885	473.7501	97.98	9600.40
0.613	769.71	3.01	89	41.6	1.242777844	7.7817	4.042	49	3.514	1.45449769	36.4106	39.02	1522.55
0.584	8.80	1.62	69	48.8	4.866929114	6.7202	3.643	34	2.930	3.197051465	404.8023	6.64	44.10
0.675	170.49	2.67	71	126.4	2.593663733	4.4636	1.163	9	0.944	2.271432771	133.9236	1.48	2.20
0.693	253.32	1.53	93	11.5	0.678751154	3.3705	1.021	20	3.233	2.782707375	405.2898	28.80	829.26
0.886	210.28	4.33	30	26.4	2.44036724	9.6345	2.962	7	0.829	3.036245278	212.3180	0.67	0.44
0.687	143.23	1.57	82	52.5	1.531140972	4.6656	0.758	35	0.910	3.644115859	143.1547	58.91	3470.27
0.796	39.68	2.23	23	62.8	3.683620333	5.2815	2.216	18	1.677	0.542082531	35.5683	71.88	5166.33
0.325	657.07	4.13	19	181.9	2.035278531	0.2077	0.177	15	4.703	2.142023345	444.3776	41.17	1694.65
0.947	282.68	2.98	2	191.8	1.277108409	2.1007	1.899	14	3.767	0.101601896	46.0999	63.65	4051.03
0.830	669.17	2.67	78	138.9	0.721063048	7.5137	0.667	39	2.672	0.409466945	66.1638	9.88	97.71
0.955	751.74	2.32	91	196.3	4.513437935	8.5430	3.932	30	2.375	1.138484904	473.0090	2.64	6.99
0.148	126.46	3.06	64	16.7	2.238708674	1.6232	1.124	9	0.009	1.952996157	129.4837	46.23	2137.41
0.534	636.75	2.49	99	133.6	3.236546081	2.3600	1.537	6	4.376	4.626315863	150.1001	82.66	6832.52
0.519	197.88	2.79	32	28.4	2.195166132	8.0442	0.531	23	2.106	2.151646165	475.2673	5.26	27.67
0.042	44.34	3.91	85	54.1	1.517532545	2.5630	4.440	15	2.010	0.079549121	255.4647	77.62	6024.20
0.968	707.01	3.70	85	65.8	4.309196078	6.9771	2.540	45	3.980	2.239325908	64.2659	83.52	6975.81
0.172	124.62	4.43	84	22.0	4.508757276	0.2963	0.286	21	3.818	2.718809864	83.1065	76.98	5925.81
0.140	531.28	0.69	80	72.2	2.199063034	7.1031	0.412	6	2.929	0.459522845	189.0004	87.26	7614.53
0.895	374.98	1.69	55	64.8	2.02635325	1.0434	4.642	28	0.357	3.610746538	264.9545	27.15	737.04
0.065	727.79	2.05	46	127.2	2.66839499	6.1286	3.293	11	1.609	4.358652984	334.9953	56.59	3202.97
0.968	507.87	4.24	38	119.0	0.141512404	4.4214	1.133	13	2.009	1.015168213	5.2604	67.60	4569.70
0.434	788.09	0.73	28	147.2	2.772723569	8.5191	2.797	29	1.077	1.369400233	352.5145	48.96	2396.81
0.846	525.55	2.32	97	51.7	2.809949472	6.8484	3.794	50	1.075	1.790191803	308.4872	31.40	985.69
0.019	260.17	0.14	53	134.0	3.267858845	8.8085	1.402	15	4.753	4.072986127	482.8704	59.27	3512.58
0.487	696.06	1.33	22	191.1	2.825216616	2.3172	0.087	13	4.483	3.568418652	75.8967	13.32	177.32
0.503	545.22	1.34	90	50.1	3.213739125	6.6856	0.173	46	0.199	1.436404767	118.1301	3.37	11.35
0.154	118.99	1.27	38	144.4	0.217566598	0.1907	3.353	13	0.796	1.471540757	179.8537	59.52	3542.32
0.110	610.61	2.00	68	50.7	0.899450751	4.8985	0.523	27	4.325	4.59044476	91.7980	93.60	8760.80
0.230	708.93	0.32	19	143.3	1.00744748	9.7214	1.701	23	1.259	3.76007644	142.8549	77.78	6049.35
0.400	655.05	4.74	40	179.4	1.788359825	8.0666	2.411	26	3.166	0.797808116	443.4662	39.44	1555.72
0.373	81.72	4.17	44	165.8	4.808070237	3.8139	1.145	41	1.040	0.29046894	148.0370	91.57	8384.47
0.515	788.05	0.79	14	136.9	2.609610561	6.8268	2.491	31	2.588	2.972058573	60.4447	83.35	6946.66
0.672	515.49	3.28	97	180.7	4.272167954	6.0078	1.164	24	0.678	2.677877822	457.5353	86.97	7563.65
0.580	641.36	3.50	59	139.9	0.636372675	2.8760	4.759	27	0.122	0.862801168	35.3285	65.75	4322.71
0.042	194.34	4.86	7	84.1	3.778599547	3.9525	2.592	9	1.294	2.704797454	371.0905	56.23	3162.36
0.087	454.51	2.94	25	53.6	2.931161811	8.4014	2.795	20	2.671	2.699173015	265.6575	40.94	1675.76
0.853	100.43	4.25	62	151.4	1.746673421	7.9170	0.357	43	2.657	1.854696645	64.5287	25.04	627.06
0.799	138.94	3.19	52	52.1	0.462199891	0.9542	4.932	35	3.545	4.640131825	15.8233	99.04	9808.85
0.957	239.64	4.04	37	125.9	2.727206762	1.8985	0.004	14	0.609	0.156787413	492.4386	57.36	3290.00
0.981	713.62	0.85	92	15.0	0.473094343	1.6355	4.948	12	2.640	0.755636763	145.8251	25.45	647.54
0.764	260.13	0.88	18	162.8	3.780636953	0.3045	4.489	46	0.318	1.165345904	76.3877	82.61	6825.12
0.952	485.71	2.41	13	59.9	3.852706139	2.7562	3.139	25	2.191	0.848910791	118.4947	14.86	220.73
0.083	451.31	1.20	38	28.0	4.74368311	6.2269	3.785	23	3.673	3.802339129	379.3177	19.87	394.99
0.076	87.78	4.85	95	37.1	3.542512708	5.7682	1.436	17	4.421	2.738849194	486.7665	4.92	24.23
0.827	667.31	4.97	73	12.3	4.373048372	6.3700	2.473	32	1.445	3.586551119	458.1650	54.42	2961.81
0.623	50.42	4.53	58	111.3	0.203095502	9.5110	0.018	7	0.084	2.041511716	409.5260	98.04	9612.38
0.611	522.93	0.82	68	178.2	2.975823995	1.0321	4.001	35	2.347	3.124133001	151.9300	45.64	2083.02
0.296	790.88	0.50	81	48.3	4.645802234	1.9988	2.553	8	3.719	2.03328188	154.3210	68.80	4733.13
0.200	676.62	4.15	39	26.0	4.419213609	0.7949	3.324	5	0.460	2.664670781	90.6657	1.92	3.67
0.928	414.82	2.89	42	13.1	2.870302776	4.1516	0.366	11	0.514	2.946231948	483.5839	98.75	9750.89
0.406	335.86	4.88	96	132.7	1.230453998	1.0419	0.404	10	1.333	1.483503859	15.7170	55.96	3131.42
0.263	521.38	0.77	6	170.3	0.485520258	6.2023	1.090	15	2.859	4.868524638	173.7930	12.78	163.42
0.181	589.05	3.34	41	95.0	3.024328759	6.4335	4.263	7	4.495	3.491801449	132.9478	41.69	1738.16
0.466	167.14	3.43	2	88.5	4.567173912	3.6377	4.203	22	4.792	0.08595925	273.5072	74.59	5563.52
0.362	204.87	0.34	99	23.7	2.467837531	9.7729	3.648	34	4.311	0.765592242	327.0156	48.10	2313.26
0.234	230.16	4.02	39	27.3	3.36588935	6.1340	1.851	13	1.742	0.287693128	84.4027	21.64	468.22
0.291	169.44	0.94	22	199.0	2.636259619	5.2832	3.071	38	4.289	1.927362329	471.2190	70.27	4938.06
0.830	111.25	3.15	70	166.2	1.271281611	3.5855	0.516	33	0.262	3.003868479	286.1440	65.34	4268.86
0.702	112.14	2.42	76	114.0	0.779098583	7.9740	1.208	43	0.196	1.669068564	122.1175	85.07	7236.06
0.179	167.70	0.49	2	56.2	3.543447112	6.8149	0.826	37	3.472	1.59977391	318.6853	46.29	2142.38
0.598	605.40	3.26	60	70.6	1.050306636	6.6320	4.888	49	3.605	2.965716046	148.9196	96.96	9400.72
0.407	674.65	4.93	34	137.0	4.681955707	4.4771	0.334	42	3.341	3.309415918	462.1633	52.86	2793.82
0.172	442.97	3.98	53	42.2	3.885442108	8.2604	2.369	14	1.011	0.34147476	62.1968	73.64	5423.19
0.331	223.82	4.50	4	43.9	2.867142002	2.9328	1.069	6	3.854	3.296816535	74.0096	90.84	8251.31
0.464	110.79	1.52	87	171.5	2.712720755	0.0438	0.488	25	4.461	2.129907683	408.7594	11.61	134.91
0.192	158.86	1.02	19	42.2	1.853193698	1.2217	4.678	35	0.943	2.618997802	214.8967	13.32	177.51
0.514	409.10	3.16	98	168.9	1.172312693	0.4209	4.883	9	0.405	2.084312291	60.6255	10.51	110.45
0.879	607.61	2.39	37	147.9	0.340152312	3.6915	0.791	48	1.610	4.455341905	249.1809	10.36	107.25
0.517	95.41	0.62	81	132.7	2.059566033	3.2186	2.953	20	3.825	4.60533173	14.4824	8.29	68.67
0.769	89.82	1.71	51	112.4	0.092981586	8.2786	0.286	38	3.426	2.133368401	461.0948	38.64	1493.20
0.965	55.80	2.14	74	136.5	1.090928091	0.1535	0.590	49	1.785	4.601482531	395.2732	32.54	1058.75
0.675	507.90	2.79	70	1.5	1.464719519	4.0506	3.946	18	4.765	0.659708088	143.3718	79.62	6339.58
0.035	319.25	0.97	13	81.9	0.013068311	4.1515	4.803	28	3.752	4.906522341	271.4497	5.12	26.16
0.845	649.15	0.82	11	70.8	2.34616516	5.9749	4.773	35	1.649	1.920167641	291.7431	49.83	2482.67
0.449	732.73	1.60	39	124.6	0.48956621	1.8988	0.072	18	2.310	1.184721342	220.0624	79.33	6293.72
0.977	305.93	2.39	85	40.4	3.593917782	0.6335	4.827	28	1.094	0.401156013	460.3818	9.96	99.22
0.482	152.47	1.24	34	106.2	4.260927838	2.6587	4.407	42	2.920	3.373925351	375.2584	40.23	1618.10
0.752	777.71	0.65	30	64.4	4.34554245	1.7921	0.430	31	3.562	2.810133832	43.8573	53.82	2896.27
0.464	580.69	4.96	15	101.3	4.924017223	1.1510	0.161	15	1.382	0.510719412	212.8712	20.88	436.06
0.020	209.53	0.16	100	37.6	2.005667323	2.3841	1.385	8	1.003	4.597261499	471.8833	29.11	847.41
0.414	74.69	4.64	16	70.0	3.557890201	7.3205	0.878	36	3.847	3.227450806	373.0172	74.95	5618.15
0.109	112.13	3.86	84	82.4	0.394621021	2.3965	0.398	35	0.462	4.661320455	408.6725	18.51	342.49
0.392	550.63	2.83	71	118.4	2.393686965	6.3413	2.653	31	4.463	2.45289698	420.3196	93.33	8710.42
